الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
الطحالب	藻类	algae	algues	Водоросли	algas
الانفصال	分离	secession	secession	Выход из состава государства	secesion
الحفر	钻孔	drilling	forage	Бурение	perforacion
الكنيسة الشرقية الأورثوذكسية	东正教	orthodox eastern church	eglise orthodoxe orientale	Православная церковь	iglesia ortodoxa oriental
ضحايا الحرب	战争受难者	war victims	victimes de guerre	Жертвы войны	victimas de guerra
إنتاج الألبان	乳品业	dairying	elevage laitier	Молочное хозяйство	explotacion lechera
رسوم المستخدمين	用户收费	user charges	redevance d'utilisation	Плата за пользование	derechos cobrables a los usuarios
الوقت	时间	time	temps	Время	tiempo
البحوث القانونية	法律研究	legal research	recherche juridique	Юридические исследования	investigacion juridica
أنغيلا	安圭拉	anguilla	anguilla	Ангилья	anguila
اتفاقات نزع السلاح	裁军协定	disarmament agreements	accords de desarmement	Соглашения о разоружении	acuerdos de desarme
الخنافس	甲虫	beetles	coleopteres	Жуки	escarabajos
المرافق السياحية	旅游设施	tourist facilities	installations touristiques	Туристские предприятия	instalaciones y servicios de turismo
العملية التشريعية	立法手续	legislative process	processus legislatif	Законодательный процесс	proceso legislativo
البحيرات	湖	lakes	lacs	Озера	lagos
العرب	阿拉伯人	arabs	arabes	Арабы	arabes
التأمين ضد الكوارث	灾害保险	disaster insurance	assurance contre les catastrophes	Страхование от бедствий	seguro contra desastres
الحواجز اللغوية	语文障碍	language barriers	barrieres de la langue	Языковые барьеры	barreras linguisticas
أوروبا الجنوبية	南欧	southern europe	europe du sud	Южная Европа	europa meridional
إعالة الأطفال	儿童抚养费	child support	pension pour charge des enfants	Средства на содержание детей	pension por hijos a cargo
الخرائط الجيولوجية	地质分布图	geological maps	cartes geologiques	Геологические карты	mapas geologicos
القراد	壁虱	ticks	tiques	Клещи	garrapatas
التخطيط الصحي	卫生工作规划	health planning	planification de la sante	Планирование здравоохранения	planificacion de la salud
السنغال	塞内加尔	senegal	senegal	Сенегал	senegal
التحضر	城市化	urbanization	urbanisation	Урбанизация	urbanizacion
التوسع التجاري	贸易扩展	trade expansion	expansion du commerce	Расширение торговли	expansion del comercio
لغة السوتو	索托语	sotho language	langue sotho	Язык сото	lengua sotho
الإسكان العام	公共住房	public housing	logement public	Государственное жилье	vivienda publica
الاستعمار الجديد	新殖民主义	neocolonialism	neo-colonialisme	Неоколониализм	neocolonialismo
التمثيل النسبي	比例代表制	proportional representation	representation proportionnelle	Пропорциональное представительство	representacion proporcional
الأسلحة المحرقة	燃烧武器	incendiary weapons	armes incendiaires	Зажигательное оружие	armas incendiarias
الاستكشاف تحت سطح المياه	水下探测	underwater exploration	exploration sous-marine	Подводные исследования	exploracion subacuatica
